timestamp,appliance,duration_hrs,room,power_usage_kWh,estimated_cost,outside_temperature,day,exceeds_threshold
2025-07-15 09:00:00,Oven,3,Laundry Room,6.78,40.68,168,Tuesday,True
2025-07-27 03:00:00,Dishwasher,5,Bathroom,6.42,38.52,25,Sunday,True
2025-07-08 02:00:00,Microwave,2,Bedroom,1.74,10.44,30,Tuesday,False
2025-04-29 10:00:00,Refrigerator,1,Bedroom,0.98,5.88,4,Tuesday,False
2025-04-28 15:00:00,Heater,2,Bedroom,4.81,28.86,15,Monday,False
2025-05-22 15:00:00,Refrigerator,4,Laundry Room,2.98,17.88,7,Thursday,True
2025-06-17 04:00:00,Oven,4,Living Room,7.75,46.5,179,Tuesday,True
2025-05-26 02:00:00,TV,2,Bathroom,2.92,17.52,23,Monday,True
2025-06-14 12:00:00,Microwave,4,Bathroom,3.51,21.06,30,Saturday,True
2025-04-20 22:00:00,Washing Machine,1,Laundry Room,1.21,7.26,23,Sunday,False
2025-05-12 19:00:00,Washing Machine,5,Dining Room,7.43,44.58,33,Monday,True
2025-05-25 22:00:00,Refrigerator,5,Bathroom,4.45,26.7,8,Sunday,True
2025-07-03 23:00:00,TV,4,Bathroom,2.8,16.8,26,Thursday,True
2025-05-04 10:00:00,Washing Machine,5,Kitchen,5.9,35.4,24,Sunday,True
2025-05-03 03:00:00,Light,6,Bathroom,0.72,4.32,33,Saturday,True
2025-05-29 15:00:00,Oven,1,Kitchen,1.86,11.16,113,Thursday,False
2025-04-20 04:00:00,Heater,1,Kitchen,2.03,12.18,15,Sunday,False
2025-04-26 20:00:00,Fan,6,Living Room,2.28,13.68,32,Saturday,True
2025-06-10 01:00:00,Light,5,Bathroom,0.38,2.28,21,Tuesday,False
2025-07-22 17:00:00,Dishwasher,4,Dining Room,4.83,28.98,21,Tuesday,True
2025-07-11 23:00:00,Refrigerator,4,Laundry Room,2.8,16.8,6,Friday,True
2025-04-21 07:00:00,Heater,2,Dining Room,3.9,23.4,12,Monday,False
2025-04-18 05:00:00,Light,4,Bathroom,0.54,3.24,25,Friday,False
2025-06-16 15:00:00,Heater,6,Bathroom,11.72,70.32,13,Monday,True
2025-05-08 22:00:00,Refrigerator,3,Laundry Room,2.6,15.6,5,Thursday,True
2025-07-25 08:00:00,Refrigerator,3,Laundry Room,2.62,15.72,6,Friday,True
2025-06-07 11:00:00,Light,3,Living Room,0.2,1.2,29,Saturday,False
2025-05-03 04:00:00,Microwave,4,Bathroom,1.34,8.04,31,Saturday,False
2025-07-04 06:00:00,TV,1,Living Room,0.69,4.14,27,Friday,False
2025-07-25 16:00:00,AC,5,Kitchen,16.5,99.0,39,Friday,True
2025-06-25 22:00:00,Microwave,2,Bedroom,1.92,11.52,32,Wednesday,False
2025-06-03 07:00:00,TV,5,Bathroom,7.46,44.76,25,Tuesday,True
2025-06-18 06:00:00,Oven,4,Living Room,7.5,45.0,244,Wednesday,True
2025-05-28 20:00:00,Light,6,Dining Room,0.95,5.7,34,Wednesday,True
2025-07-15 02:00:00,Fan,6,Laundry Room,1.65,9.9,25,Tuesday,True
2025-06-06 10:00:00,Light,3,Living Room,0.38,2.28,34,Friday,False
2025-05-27 03:00:00,Refrigerator,2,Laundry Room,1.76,10.56,6,Tuesday,False
2025-07-12 04:00:00,Heater,4,Bedroom,6.7,40.2,14,Saturday,True
2025-04-25 20:00:00,Dishwasher,4,Living Room,5.24,31.44,40,Friday,True
2025-07-14 14:00:00,Microwave,5,Laundry Room,3.74,22.44,25,Monday,True
2025-06-15 05:00:00,Refrigerator,6,Laundry Room,4.19,25.14,6,Sunday,True
2025-05-21 11:00:00,Fan,5,Kitchen,2.44,14.64,24,Wednesday,True
2025-06-16 10:00:00,Washing Machine,5,Kitchen,5.96,35.76,35,Monday,True
2025-06-22 17:00:00,AC,2,Kitchen,6.11,36.66,42,Sunday,False
2025-07-10 11:00:00,TV,6,Laundry Room,7.88,47.28,20,Thursday,True
2025-05-05 17:00:00,Light,1,Kitchen,0.2,1.2,35,Monday,False
2025-05-31 06:00:00,Microwave,4,Laundry Room,1.86,11.16,28,Saturday,False
2025-05-14 05:00:00,Microwave,3,Bedroom,1.33,7.98,22,Wednesday,False
2025-04-22 04:00:00,Refrigerator,6,Laundry Room,4.73,28.38,6,Tuesday,True
2025-06-09 11:00:00,TV,3,Bathroom,2.11,12.66,29,Monday,False
2025-06-20 16:00:00,Light,6,Bathroom,0.89,5.34,21,Friday,True
2025-07-05 08:00:00,Heater,6,Laundry Room,9.27,55.62,14,Saturday,True
2025-07-05 03:00:00,TV,3,Dining Room,2.17,13.02,24,Saturday,False
2025-06-03 11:00:00,Dishwasher,2,Bathroom,2.0,12.0,39,Tuesday,False
2025-05-19 08:00:00,Heater,2,Bathroom,3.02,18.12,12,Monday,False
2025-06-02 18:00:00,Microwave,5,Bedroom,1.52,9.12,33,Monday,False
2025-04-25 06:00:00,AC,5,Living Room,12.83,76.98,30,Friday,True
2025-06-06 11:00:00,Washing Machine,2,Living Room,2.84,17.04,37,Friday,False
2025-06-13 09:00:00,Oven,3,Dining Room,7.27,43.62,201,Friday,True
2025-05-08 14:00:00,Refrigerator,3,Kitchen,2.01,12.06,7,Thursday,True
2025-07-06 00:00:00,AC,3,Laundry Room,9.97,59.82,30,Sunday,True
2025-04-23 23:00:00,Oven,4,Dining Room,6.04,36.24,147,Wednesday,True
2025-05-10 10:00:00,TV,1,Dining Room,1.11,6.66,27,Saturday,False
2025-04-20 14:00:00,Refrigerator,3,Bedroom,2.66,15.96,4,Sunday,True
2025-05-29 14:00:00,Light,5,Dining Room,0.48,2.88,23,Thursday,False
2025-05-21 16:00:00,Light,4,Living Room,0.34,2.04,33,Wednesday,False
2025-07-06 04:00:00,Oven,1,Living Room,2.94,17.64,239,Sunday,False
2025-04-27 22:00:00,AC,1,Bedroom,3.41,20.46,39,Sunday,False
2025-05-27 17:00:00,Oven,6,Bedroom,13.16,78.96,105,Tuesday,True
2025-05-28 12:00:00,AC,1,Bedroom,2.67,16.02,37,Wednesday,False
